doc_id,source_document_id,pdf_url,original_url,local_pdf_path,expected_size_bytes,download_ok,file_size_bytes,download_error
rtve_1860,1860,https://www.rtve.es/contenidos/documentos/23f-desclasificado/99_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_20_de_febrero_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1860/original,data/raw/pdfs_rtve/rtve_1860.pdf,771201,True,771201,
rtve_1859,1859,https://www.rtve.es/contenidos/documentos/23f-desclasificado/98_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_22_de_febrero_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1859/original,data/raw/pdfs_rtve/rtve_1859.pdf,979124,True,979124,
rtve_1858,1858,https://www.rtve.es/contenidos/documentos/23f-desclasificado/97_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_24_de_febrero_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1858/original,data/raw/pdfs_rtve/rtve_1858.pdf,1241724,True,1241724,
rtve_1857,1857,https://www.rtve.es/contenidos/documentos/23f-desclasificado/96_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_25_de_febrero_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1857/original,data/raw/pdfs_rtve/rtve_1857.pdf,1680589,True,1680589,
rtve_1856,1856,https://www.rtve.es/contenidos/documentos/23f-desclasificado/95_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_26_de_febrero_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1856/original,data/raw/pdfs_rtve/rtve_1856.pdf,973226,True,973226,
rtve_1855,1855,https://www.rtve.es/contenidos/documentos/23f-desclasificado/94_1982_informacion_integrada_11_de_marzo_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1855/original,data/raw/pdfs_rtve/rtve_1855.pdf,317807,True,317807,
rtve_1854,1854,https://www.rtve.es/contenidos/documentos/23f-desclasificado/93_1982_informacion_integrada_16_de_marzo_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1854/original,data/raw/pdfs_rtve/rtve_1854.pdf,319587,True,319587,
rtve_1853,1853,https://www.rtve.es/contenidos/documentos/23f-desclasificado/92_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_2_de_marzo_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1853/original,data/raw/pdfs_rtve/rtve_1853.pdf,1626178,True,1626178,
rtve_1852,1852,https://www.rtve.es/contenidos/documentos/23f-desclasificado/91_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_5_de_marzo_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1852/original,data/raw/pdfs_rtve/rtve_1852.pdf,1282344,True,1282344,
rtve_1851,1851,https://www.rtve.es/contenidos/documentos/23f-desclasificado/90_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_8_de_marzo_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1851/original,data/raw/pdfs_rtve/rtve_1851.pdf,782136,True,782136,
rtve_1850,1850,https://www.rtve.es/contenidos/documentos/23f-desclasificado/89_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_9_de_marzo_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1850/original,data/raw/pdfs_rtve/rtve_1850.pdf,737637,True,737637,
rtve_1849,1849,https://www.rtve.es/contenidos/documentos/23f-desclasificado/88_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_11_de_marzo_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1849/original,data/raw/pdfs_rtve/rtve_1849.pdf,534447,True,534447,
rtve_1848,1848,https://www.rtve.es/contenidos/documentos/23f-desclasificado/87_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_12_de_marzo_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1848/original,data/raw/pdfs_rtve/rtve_1848.pdf,339015,True,339015,
rtve_1847,1847,https://www.rtve.es/contenidos/documentos/23f-desclasificado/86_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_15_de_marzo_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1847/original,data/raw/pdfs_rtve/rtve_1847.pdf,715422,True,715422,
rtve_1846,1846,https://www.rtve.es/contenidos/documentos/23f-desclasificado/85_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_16_de_marzo_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1846/original,data/raw/pdfs_rtve/rtve_1846.pdf,1034953,True,1034953,
rtve_1845,1845,https://www.rtve.es/contenidos/documentos/23f-desclasificado/84_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_17_de_marzo_de_1982.pdf,https://23fbuscador.rtve.es/document/ocr/1845/original,data/raw/pdfs_rtve/rtve_1845.pdf,729979,True,729979,
