doc_id,title,y_true,y_pred_oof,text_clean_length_words,text_excerpt
rtve_1703,Semestral de la amenaza interior (10 de febrero de 1981; 9 de marzo de 1981).,defensa,interior,8714,MINISTERIO DE DEFENSA CENTRO SUPERIOR DE INFORMACION DE LA DEFENSA  # MICROFILMACION 03838/S  | S/Ref. | Núm. | Fecha | N/Ref. | Núm. | | --- | --- | --- | --- | --- | | | | | D1 | 3864 |  ASUNTO: REMISION DE INFORMACION.  ANEXO: Informe semestral sobre la amenaza interior.  Exmo. Señor:  A fin de que esa División se halle informada de la amenaza interior se emite el primer informe semestral el cual contiene una valoración de la misma en sus diversos aspectos.  Dicho informe ha sido entregado en
rtve_1791,"""Guión que sirvió de base para la reunión de S.M. el Rey con el Presidente del Gobierno",defensa,interior,1363,"PERSONAL Y RESERVADA  CASA DE S. M. EL REY EL SECRETARIO GENERAL  Palacio de la Zarzuela, 14 de Diciembre de 1981  Ilmo. Sr. D. Emilio Alonso Manglano Director del Centro Superior de Información de la Defensa MADRID  Querido Emilio:  Para tu conocimiento, tengo mucho gusto en enviar te le guión que sirvió de base para la reunión que S.M. el Rey tuvo el sábado pasado con el Presidente del Gobierno, el Ministro de Defensa y la Junta de Jefes de Estado Mayor.  También te envío fotocopia de dos tarj"
rtve_1804,Nota al PREJUJEM (Presidente de la Junta de Jefes de Estado Mayor). Algunos datos para una crónica de un golpe anunciado (Jesús M. Paricio).,defensa,interior,2657,"1  # NOTA PREJUJEN  1. Existe una campaña propagandística para confundir a los cuadros de Mandos del Ejército, un motivo de la vista de la causa 2/81 sobre los nuevos del 23 de Febrero  2. Esta campaña se ajusta a unos planes hóreolos por los grupos exhumidos de distinto signo  3. Los objetivos son los de crear la irritación y desconfianza entre los miembros de los FAS a fin de que la confusión lo foe dividir el Ejército y en consecuencia debilitarla y desereditarla  4. Para lograr estos propósi"
rtve_1759,D.15._AGMAE_R40201_Exp._215,exteriores,defensa,367,"S. R. Página 23/Mar20 1981  # CÂMARA MUNICIPAL DE ELVAS  TELEFS.: 22264-22267 APARTADO 70 7351 ELVAS CODEX  Exmo Senhor Consul de Espanha Avenida Conde Cantanhede 7350 ELVAS  | Sua referência | Sua comunicação de | Nossa referência | DATA | | --- | --- | --- | --- | | N.o | 886 | P.o n.o | M-3/A-2 Lo n.o 21 11/3/81 |  ASSUNTO:  Para conhecimento de V. Exa junto envio fotocópia de uma moção de solidariedade com o Povo Espanhol, apresentada pelos elementos da Aliança Povo Unido, na sessão de 26 de"
rtve_1763,D.19._AGA-83-07633_exp._4,exteriores,defensa,579,"725.101 Citaso esta referencia en la contestación 441323.2(46)-1/9  Embajada de España NO 507  IBEROAMERICA  18 MAYO 1981 Májico, 13 de mayo, 81  ASUNTO: artículo ""Monarquía Nacional"" por J. Marias en ""Novedades""  EXCMO SEÑOR:  Adjunto tengo a honra remitir a V.E. recorte del artículo ""Monarquía Nacional"" aparecido hoy en la página editorial de ""Novedades"", en el que su autor, Julian Marias, pone sobre todo de relieve el enorme prestigio del Rey Don Juan Carlos ante el pueblo español y en el ámb"
rtve_1770,D.25._AGA-83-08764_exp._5,exteriores,defensa,445,"729.1  66' 333.3 (46)-1/9 Cifase esta referencia en la contestación  Embajada de España La Habana, 7 de abril de 1982  IBEROAMERICA O.I.D. Núm. 372  13  Asunto: Incidente en juicio 23 F. Excmo. Señor:  Adjunto remito a V. E. el suelto que en su Sección ""Hilo Directo"" publica hoy el diario ""Granma"", sobre el incidente protagonizado el pasado día 5 por - algunos de los procesados en el juicio por el intento de golpe militar de 23 de febrero de 1981.  Dios guarde a V. E. muchos años EL EMBAJADOR DE"
rtve_1698,Documento manuscrito de posible planificación del golpe.,interior,defensa,469,"""Antes de 20 no se dispondría de la adecuada valoración de unidades"".  - Datos actualizados cada 7 días a partir 17-9-80 - Buscar integración de todos los niveles: Junta Superior, E.M., U.S. Operativas a nivel cupo de capitanías, Cincuentes.  ## Cronología últimas fases  ### D-3 Contactos: - resp. región - jefes comandos - T.Gers. suplentes.  ### D-2 Responsables con campamentos  ### D-1 Preparación  ### D (5 a 6 hs) acción.  ## Calentan ambiente  ¿Quién preparó ambiente de fue de preparaciones "
rtve_1700,Nota del EM de la Guardia Civil con una secuencia parcial de los hechos del asalto al Congreso.,interior,defensa,1108,"DIRECCION GENERAL DE LA GUARDIA CIVIL  ESTADO MAYOR - 2a SECCION.  18,20 Noticias dadas por radio sobre asunto CORTES  19,00 Grupo Servicios Especiales./ Gente de Tráfico y Parque con uniforme y armamento tienen tomadas entradas al Parlamento y calles laterales./ Tienen órdenes de no hablar con nadie./ Tambien hay Policia Nacional./ Se niegan a hablar con personal del Grupo Servicios Especiales.  19,10 Grupo Servicios Especiales/. Según emisora de Policia, de Fuerza de la Guardia Civil que rodea"
rtve_1701,Télex interiores y de agencias recibidos en 2ª sección EM el día 23-F informando del estado de situación (23 de febrero de 1981).,interior,defensa,19857,"SERVICIO RADIOTELEGRAFICO DE LA GUARDIA CIVIL  Radio n.°: 23 FEB 1981 P. P. 10/10  EL OPERADOR  TELEX NUMERO 191 LERIDA 23/2030 JEFL 422 COMANDANCIA ... LERIDA A DIRECTOR GENERAL CUERPO ... MADRID  A PARTIR 19 HORAS HOY, ORDENADO POR GOBERNADOR CIVIL, SE ESTABLECE ESTADO ALERTA DEL PLAN PERMANENTE DE SEGURIDAD Y PROTECCION. PARTICIPOLO CONOCIMIENTO.  5613 G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G. G.  SERVICIO RADIOTELEGRAFICO D"
rtve_1712,Oficio zona País Vasco que expresa una comunicación del teniente coronel Tejero sobre la posible situación de tensión por la presencia de ETA (1975).,interior,defensa,476,"DIRECCION GENERAL DE LA GUARDIA CIVIL S. ZONA JEFATURA  S/Rf.a Núm. Fecha N/Rf.a JAP/jso. Núm. 543  # RESERVADO  ASUNTO: Informando de las disposiciones adoptadas con respecto a un Teniente Coronel.  Exomo. Señor:  Como continuación al escrito de esta Jefatura, ""RESERVADO"", número 494, de fecha 11 del actual, sobre Nota Informativa enviada por el Teniente Coronel DON ANTONIO TEJERO MOLINA, Primer Jefe de la 512a Comandancia, en relación con tensión y malestar entre la fuerza de su Unidad, recaba"
rtve_1723,Nota sobre la comparecencia del teniente coronel Tejero informando sobre una reunión en la cafetería Galaxia citando al resto de asistentes (1978).,interior,defensa,410,"53  EN TOLEDO, A LAS 18,30 HORAS DEL DIA 16 DE NOVIEMBRE, ANTE EL CORONEL DE LA GUARDIA CIVIL DON SERGIO GALLEGO RONQUILLO Y EL TENIENTE CORONEL DE I NFANTERIA S.E.M. DON ANDRES CASSINELLO PEREZ, DEL ESTADO MAYOR DE LA DIRECCION GENERAL DE LA GUARDIA CIVIL COMPARECE EL TENENTE CORONEL DON ANTONIO TEJERO MOLINA,  Preguntado si el viernes dia 10 de noviembre estuvo en la Cafate ria Galaxia y quien le acompañaba, el Tte Coronel Tejero manifestista que estuvo con el Capitan H inestrillas, de la P.A."
rtve_1785,Índices de subversión en las FAS. Marca: SECRETO (diciembre de 1981).,interior,defensa,1722,"SECRETO  # INDICES DE SUBVERSION EN LAS FAS.  ## FASE INICIAL.  - Grupos políticos que aumentan su actividad. - Rumores alarmantes extendidos para confundir y dividir a los componentes de las FAS. - Envío de cartas y panfletos subversivos.  ## DESAFIO A LA AUTORIDAD.  - Mutilación de posters o postergación de retratos oficiales. - Mensajes críticos escritos en las paredes, como: (EL REY A DECLARAR; EJERCITO DESPIERTA - CONO; etc.). - El Gobierno es maliciosamente desacreditado y ridiculizado, al"
rtve_1786,"""Juicio del 23-F: acotaciones al desarrollo del juicio",interior,defensa,11080,"25.02.82  JUICIO 23.F  # I VALERACION GENERAL  Nuestra plataforma de observación tiene un horizonte limitado, ya que no asistimos personalmente a las sesiones del juicio, ni conocemos con exactitud el contenido y las incidencias de las actuaciones procesales; por otra parte, la información disponible a través de los medios de comunicación, no es completa ni en extensión ni en exhaustividad.  Hecha esta reserva nos aventuramos a afirmar que, habida cuenta de su intrínseca complejidad y de las dif"
rtve_1787,"""Nota """"Campaña contra S.M."""" (sin firma).""",interior,defensa,4105,"N/Rf#:C/DI3/  ASUNTO.- Campaña contra S.M. el Rey en relación con el 23-F  La supuesta implicación de S.M. el Rey en los acontecimientos que tuvieron lugar el 23 de Febrero de 1981 responde, por una parte, al deseo de disminuir la responsabilidad penal de los procesados por aquellos hechos y, por otra, a la posibilidad de disponer de un argumento contra la Corona que haga posible un intento similar en el futuro.  Tanto por parte de los abogados defensores de los verdaderamente implicados, como e"
